company,title,location,url,source,ats,id,pay,benchmark,family,timing,score,cv_variant
Binance,AI Search Product Manager - 6 month contract,"Asia, Taiwan, Taipei, Hong Kong",https://jobs.lever.co/binance/44b997f0-ec80-442d-93e0-3210f0915216,lever:binance,sqlite,44b997f0-ec80-442d-93e0-3210f0915216,not stated,market: no benchmark for this role family,other,later_senior,5,en
Binance,Algorithm Engineer - Recommendation & Search,"Asia, Hong Kong, Taiwan, Taipei, Australia, Sydney",https://jobs.lever.co/binance/6b21b701-03c9-42ab-8519-a294c7256b0c,lever:binance,sqlite,6b21b701-03c9-42ab-8519-a294c7256b0c,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,ft,5,en
Binance,"Algorithm Engineer, Market Growth","Asia, Hong Kong, Taiwan, Taipei, Australia, Brisbane, Australia, Melbourne, Australia, Sydney, Japan, Tokyo, South Korea, Seoul",https://jobs.lever.co/binance/16d56d5d-98c0-4942-9a22-54ca4b2b33e9,lever:binance,sqlite,16d56d5d-98c0-4942-9a22-54ca4b2b33e9,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,ft,5,en
Binance,Backend Engineer (Java) - KYC Tech,"Asia, Taiwan, Taipei, UAE, Dubai, Vietnam, Ho Chi Minh",https://jobs.lever.co/binance/81ea9e57-cc36-480b-b831-0575adf421f0,lever:binance,sqlite,81ea9e57-cc36-480b-b831-0575adf421f0,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,ft,5,en
Binance,Binance Accelarator Program - Risk Analyst,"Asia, Taiwan, Taipei, Hong Kong, South East Asia, Vietnam, Ho Chi Minh, Australia, Brisbane, Australia, Melbourne, Australia, Sydney, Thailand, Bangkok",https://jobs.lever.co/binance/35d92a17-0a6e-4bbe-8f9e-4235a3a78cc8,lever:binance,sqlite,35d92a17-0a6e-4bbe-8f9e-4235a3a78cc8,not stated,"market: ~NT$60,000-90,000/month for analyst roles in Taipei",analyst,ft,5,en
Binance,Binance Accelerator Program - AI Agent Engineer,"Asia, Hong Kong, Taiwan, Taipei",https://jobs.lever.co/binance/439d6f0a-bf27-45b5-8cd2-0783d105bb7b,lever:binance,sqlite,439d6f0a-bf27-45b5-8cd2-0783d105bb7b,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,now_intern,55,en
Binance,Binance Accelerator Program - AI Agent Engineer,"Asia, Hong Kong, Taiwan, Taipei",https://jobs.lever.co/binance/53f4727b-89a8-4b19-8b1a-65781808c5dd,lever:binance,sqlite,53f4727b-89a8-4b19-8b1a-65781808c5dd,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,now_intern,55,en
Binance,"Binance Accelerator Program - AI Engineer, Dev Tools","Asia, Taiwan, Taipei, Hong Kong",https://jobs.lever.co/binance/ba663e18-e640-4368-af28-7cfe051aab61,lever:binance,sqlite,ba663e18-e640-4368-af28-7cfe051aab61,not stated,"market: ~NT$122,000/month entry ML engineer (NT$1.47M/yr)",ml_research,now_intern,55,ai
Binance,Binance Accelerator Program - AI Product Manager,"Hong Kong, Taiwan, Taipei",https://jobs.lever.co/binance/fc5c7a53-3e41-4946-a37e-22da932abb6f,lever:binance,sqlite,fc5c7a53-3e41-4946-a37e-22da932abb6f,not stated,market: no benchmark for this role family,other,now_intern,55,en
Binance,Binance Accelerator Program - AI Productivity Engineer,"Asia, Hong Kong, Taiwan, Taipei",https://jobs.lever.co/binance/fcaef5ae-d16f-4fe0-b9db-f1824b3a33df,lever:binance,sqlite,fcaef5ae-d16f-4fe0-b9db-f1824b3a33df,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,now_intern,55,en
